//mob,item,group,rate,limit
//28705
1154,28705,OPT_GROUP_CRIMSON_WEAPONS,100,0
1386,28705,OPT_GROUP_CRIMSON_WEAPONS,100,0
1619,28705,OPT_GROUP_CRIMSON_WEAPONS,100,0
2199,28705,OPT_GROUP_CRIMSON_WEAPONS,100,0
1106,28705,OPT_GROUP_CRIMSON_WEAPONS,100,0
1204,28705,OPT_GROUP_CRIMSON_WEAPONS,100,0
1203,28705,OPT_GROUP_CRIMSON_WEAPONS,100,0
1653,28705,OPT_GROUP_CRIMSON_WEAPONS,100,0
1652,28705,OPT_GROUP_CRIMSON_WEAPONS,100,0
1290,28705,OPT_GROUP_CRIMSON_WEAPONS,100,0

//13454
1154,13454,OPT_GROUP_CRIMSON_WEAPONS,100,0
1205,13454,OPT_GROUP_CRIMSON_WEAPONS,100,0
1204,13454,OPT_GROUP_CRIMSON_WEAPONS,100,0
1203,13454,OPT_GROUP_CRIMSON_WEAPONS,100,0
1654,13454,OPT_GROUP_CRIMSON_WEAPONS,100,0
1653,13454,OPT_GROUP_CRIMSON_WEAPONS,100,0

//1443
1215,1443,OPT_GROUP_CRIMSON_WEAPONS,100,0
1993,1443,OPT_GROUP_CRIMSON_WEAPONS,100,0

//16040
1517,16040,OPT_GROUP_CRIMSON_WEAPONS,100,0
1155,16040,OPT_GROUP_CRIMSON_WEAPONS,100,0
1143,16040,OPT_GROUP_CRIMSON_WEAPONS,100,0
1316,16040,OPT_GROUP_CRIMSON_WEAPONS,100,0
1296,16040,OPT_GROUP_CRIMSON_WEAPONS,100,0
1655,16040,OPT_GROUP_CRIMSON_WEAPONS,100,0
1301,16040,OPT_GROUP_CRIMSON_WEAPONS,100,0

//1839
2072,1839,OPT_GROUP_CRIMSON_WEAPONS,100,0
1519,1839,OPT_GROUP_CRIMSON_WEAPONS,100,0
1408,1839,OPT_GROUP_CRIMSON_WEAPONS,100,0
1736,1839,OPT_GROUP_CRIMSON_WEAPONS,100,0
1655,1839,OPT_GROUP_CRIMSON_WEAPONS,100,0

//1939
1404,1939,OPT_GROUP_CRIMSON_WEAPONS,100,0
1416,1939,OPT_GROUP_CRIMSON_WEAPONS,100,0
1390,1939,OPT_GROUP_CRIMSON_WEAPONS,100,0
1703,1939,OPT_GROUP_CRIMSON_WEAPONS,100,0
1656,1939,OPT_GROUP_CRIMSON_WEAPONS,100,0

//1995
1413,1995,OPT_GROUP_CRIMSON_WEAPONS,100,0
1416,1995,OPT_GROUP_CRIMSON_WEAPONS,100,0

//28604
1117,28604,OPT_GROUP_CRIMSON_WEAPONS,100,0
2362,28604,OPT_GROUP_CRIMSON_WEAPONS,100,0

//21015
1587,21015,OPT_GROUP_CRIMSON_WEAPONS,100,0
1302,21015,OPT_GROUP_CRIMSON_WEAPONS,100,0
1702,21015,OPT_GROUP_CRIMSON_WEAPONS,100,0
1219,21015,OPT_GROUP_CRIMSON_WEAPONS,100,0
1203,21015,OPT_GROUP_CRIMSON_WEAPONS,100,0
1829,21015,OPT_GROUP_CRIMSON_WEAPONS,100,0
1652,21015,OPT_GROUP_CRIMSON_WEAPONS,100,0
1658,21015,OPT_GROUP_CRIMSON_WEAPONS,100,0

//1498
1320,1498,OPT_GROUP_CRIMSON_WEAPONS,100,0
1030,1498,OPT_GROUP_CRIMSON_WEAPONS,100,0
1259,1498,OPT_GROUP_CRIMSON_WEAPONS,100,0

//28106
1135,28106,OPT_GROUP_CRIMSON_WEAPONS,100,0
1310,28106,OPT_GROUP_CRIMSON_WEAPONS,100,0
2353,28106,OPT_GROUP_CRIMSON_WEAPONS,100,0
1654,28106,OPT_GROUP_CRIMSON_WEAPONS,100,0

//28007
2071,28007,OPT_GROUP_CRIMSON_WEAPONS,100,0
1257,28007,OPT_GROUP_CRIMSON_WEAPONS,100,0

//13327
1405,13327,OPT_GROUP_CRIMSON_WEAPONS,100,0
